area_name,population_2023,assault_rate_2023,autotheft_rate_2023,biketheft_rate_2023,breakenter_rate_2023,homicide_rate_2023,robbery_rate_2023,shooting_rate_2023,theftfrommv_rate_2023,theftover_rate_2023,avg_crime_rates
Newtonbrook West,26265,0.7614696655000001,0.8147725219999999,0.07614696503,0.1979821014,NA,0.11422044370000001,0.003807348251,0.5711022339,0.05330287552,0.28808935058900004
Westminster-Branson,27742,0.4289524841,0.30639462279999996,0.01802321434,0.1045346375,NA,0.01441857147,NA,0.2487203522,0.02523250008,0.12736404249888889
Bathurst Manor,17255,0.5099971008,0.4404520569,0.028977108,0.2434077148,0.0057954216000000005,0.09272674561,NA,0.3245436096,0.023181686400000002,0.18545349374555556
Clanton Park,19089,0.7019749756,0.8067473145,0.047147571560000004,0.3562261047,NA,0.08381790924,0.01571585751,0.3771805725,0.05762480927,0.27182612387555555
Englemount-Lawrence,24465,0.5109339905,0.2779480896,0.0367872467,0.2002861176,NA,0.0694870224,0.016349887849999998,0.22072348020000002,0.02861230278,0.15123645973666666
Yorkdale-Glen Park,17258,1.199443726,1.153088379,0.07532738494999999,0.8923397827,NA,0.4287866516,NA,0.6837408447000001,0.25495422360000003,0.5208534436166666
Brookhaven-Amesbury,18738,0.8859003296,0.3949194031,0.02668374443,0.2081332092,NA,0.1601024628,NA,0.2881844482,0.048030738829999996,0.22355048179555556
Maple Leaf,10575,0.4728132324,0.46335696410000005,NA,0.1607565002,NA,0.04728132248,0.009456264495999999,0.1607565002,0.009456264495999999,0.14709744981911113
Rustic,10404,0.8554401855,0.3267973938,NA,0.1826220703,NA,0.01922337532,0.02883506393,0.1345636292,0.01922337532,0.17407834370777778
York University Heights,29897,1.368030273,0.8796869507,0.05351707458,0.729170166,NA,0.3545506287,0.02006890297,0.5953774413999999,0.1337926941,0.45935490349444447
Glenfield-Jane Heights,32251,1.013922058,0.36898080440000003,0.015503395080000001,0.1333291931,NA,0.09612104797000001,0.043409507750000006,0.167436676,0.08371833800999999,0.21360233558999997
